player,matches,runs,balls_faced,fours,sixes,dismissals,balls_bowled,runs_conceded,wickets,catches,run_outs,stumpings
Sai Sudharsan,6,329,233,31,13,6,0,0,0,5,0,0
SN Thakur,7,14,13,2,0,2,171,274,12,2,0,0
Shubman Gill,6,208,143,22,6,5,0,0,0,3,0,0
Akash Deep,4,0,1,0,0,1,77,147,3,0,0,0
Digvesh Rathi,7,0,0,0,0,0,174,214,9,1,0,0
Avesh Khan,6,2,3,0,0,0,138,224,5,1,0,0
Ravi Bishnoi,7,0,2,0,0,1,165,280,8,3,0,0
Aiden Markram,7,208,142,21,9,7,31,40,1,6,0,0
Jos Buttler,6,218,139,21,9,5,0,0,0,2,0,0
Nicholas Pooran,7,357,182,28,31,6,0,0,0,6,0,0
Washington Sundar,2,51,33,5,2,2,24,29,1,1,0,0
Sherfane Rutherford,6,158,108,14,10,4,0,0,0,0,0,0
M Shahrukh Khan,4,62,38,4,5,2,0,0,0,1,0,0
Rahul Tewatia,3,30,18,2,3,3,0,0,0,3,0,0
Rashid Khan,6,22,13,1,2,2,136,216,4,3,0,0
Mohammed Siraj,6,0,0,0,0,0,155,214,10,1,0,0
Rishabh Pant,6,103,103,8,5,6,0,0,0,4,1,0
Arshad Khan,4,1,1,0,0,0,45,69,2,3,0,0
Prasidh Krishna,6,0,0,0,0,0,141,162,10,1,0,0
Sai Kishore,6,1,1,0,0,1,122,169,10,2,0,0
Ayush Badoni,6,131,105,9,6,5,0,0,0,2,0,0
David Miller,6,97,74,9,3,3,0,0,0,3,0,0
Abdul Samad,6,81,42,6,6,4,2,6,0,2,0,0
Rachin Ravindra,7,186,143,18,4,6,0,0,0,2,0,0
Vaibhav Arora,5,0,0,0,0,0,122,170,7,2,0,0
Devon Conway,3,94,78,9,2,3,0,0,0,1,0,0
Moeen Ali,2,5,14,0,0,1,49,43,3,2,0,0
Rahul Tripathi,5,55,57,6,1,5,0,0,0,1,0,0
Ajinkya Rahane,6,204,138,18,13,5,0,0,0,4,0,0
Harshit Rana,6,19,23,3,0,2,124,179,7,4,0,0
Vijay Shankar,5,118,95,8,3,3,0,0,0,2,0,0
Varun Chakravarthy,6,0,0,0,0,0,141,150,8,1,0,0
Sunil Narine,5,125,75,11,11,5,110,146,5,1,0,0
Shivam Dube,7,180,149,13,9,5,0,0,0,2,0,0
Ravichandran Ashwin,6,12,15,1,0,2,123,199,5,3,0,0
Ravindra Jadeja,7,92,84,5,3,5,101,138,4,3,1,0
Quinton de Kock,6,141,106,9,11,5,0,0,0,2,0,0
Deepak Hooda,3,7,18,1,0,3,0,0,0,1,0,0
MS Dhoni,7,130,88,10,8,3,0,0,0,3,1,4
Noor Ahmad,7,1,10,0,0,1,150,176,12,0,0,0
Anshul Kamboj,2,3,4,0,0,0,31,39,2,0,0,0
Khaleel Ahmed,7,0,0,0,0,0,167,247,11,0,1,0
Gurjapneet Singh,5,114,71,13,5,2,0,0,0,2,0,0
Phil Salt,6,208,116,25,13,6,0,0,0,4,0,0
Mitchell Starc,5,3,7,0,0,1,114,191,9,3,0,0
Virat Kohli,6,248,177,20,10,4,0,0,0,2,0,0
Axar Patel,5,67,42,9,2,4,85,137,0,4,0,0
KL Rahul,4,200,126,16,10,3,0,0,0,3,1,0
Devdutt Padikkal,6,119,90,11,6,5,0,0,0,1,0,0
Vipraj Nigam,5,54,28,6,3,2,99,142,7,1,1,0
Mukesh Kumar,5,0,0,0,0,0,98,141,4,0,0,0
Rajat Patidar,5,186,122,17,9,5,0,0,0,1,0,0
Liam Livingstone,6,83,63,3,7,4,54,76,2,3,0,0
Kuldeep Yadav,5,6,6,1,0,2,120,113,10,0,0,0
Ashutosh Sharma,5,1,3,0,0,1,100,146,2,0,0,0
Ashutosh Sharma,3,84,46,7,5,2,0,0,0,2,0,0
Ashutosh Sharma,4,88,58,8,6,3,0,0,0,8,0,1
Krunal Pandya,6,23,27,2,0,3,118,183,8,1,0,0
David Miller,4,92,52,6,9,1,0,0,0,3,0,0
Manvanth Kumar,5,2,9,0,0,0,118,152,6,0,0,0
Faf du Plessis,3,81,55,6,5,3,0,0,0,3,0,0
Jake Fraser-McGurk,5,46,47,5,2,5,0,0,0,3,0,0
Yash Dayal,6,0,0,0,0,0,127,191,7,1,0,0
Abishek Porel,5,107,73,10,4,4,0,0,0,1,1,0
Josh Hazlewood,6,0,0,0,0,0,133,190,9,0,0,0
Suyash Sharma,5,0,0,0,0,0,124,178,2,0,0,0
Tristan Stubbs,5,118,76,10,5,2,6,28,0,5,0,0
Priyansh Arya,5,194,92,17,15,5,0,0,0,2,0,0
Mohammed Shami,6,10,11,1,0,1,132,243,5,1,0,0
Prabhsimran Singh,5,133,87,19,4,5,0,0,0,1,0,1
Pat Cummins,6,56,36,5,4,3,131,229,4,4,0,0
Harshal Patel,5,20,26,0,0,2,113,166,8,2,0,0
Nitish Kumar Reddy,5,112,100,11,2,5,0,0,0,2,0,0
Venkatesh Iyer,5,250,128,16,20,3,0,0,0,1,0,0
Eshan Malinga,1,0,0,0,0,0,26,46,2,0,0,0
Nehal Wadhera,4,141,96,9,9,3,0,0,0,0,0,0
Zeeshan Ansari,4,0,0,0,0,0,92,141,4,1,0,0
Shashank Singh,4,108,72,8,5,1,12,27,0,2,0,0
Glenn Maxwell,5,34,35,3,1,4,70,106,3,5,0,0
Marcus Stoinis,5,59,41,2,6,3,60,111,0,0,0,0
Travis Head,6,214,125,30,9,6,0,0,0,1,0,0
M Shahrukh Khan,5,42,31,2,2,1,112,209,3,1,0,0
Arshdeep Singh,5,1,5,0,0,1,125,191,7,0,1,0
Abhishek Sharma,6,192,99,24,10,6,49,82,0,0,0,0
Yash Thakur,2,0,0,0,0,0,43,80,1,0,0,0
Lockie Ferguson,4,4,1,1,0,0,76,107,6,0,0,0
Yuzvendra Chahal,5,0,0,0,0,0,93,168,2,2,0,0
Heinrich Klaasen,6,173,106,15,8,5,0,0,0,4,1,0
Praveen Dubey,0,0,0,0,0,0,0,0,0,1,0,0
Ishan Kishan,6,136,85,14,6,4,1,4,0,1,0,0
Jofra Archer,6,21,15,0,2,3,142,223,5,1,0,0
Fazalhaq Farooqi,2,0,0,0,0,0,42,87,0,0,0,0
Tushar Deshpande,5,6,7,0,0,1,104,171,5,1,0,0
Sandeep Sharma,6,6,6,0,0,0,129,195,5,0,0,0
Maheesh Theekshana,6,8,18,0,0,1,144,216,6,0,0,0
Sanju Samson,6,193,139,21,7,6,0,0,0,2,0,1
Yashasvi Jaiswal,6,182,138,17,9,6,0,0,0,6,0,0
Harshit Rana,6,117,68,15,5,5,12,18,0,0,0,0
Kulwant Khejroliya,1,0,0,0,0,0,19,29,1,1,0,0
Riyan Parag,6,165,110,10,12,5,31,36,0,3,1,0
Dhruv Jurel,6,159,105,14,9,4,0,0,0,2,0,0
Shimron Hetmyer,6,149,110,10,9,6,0,0,0,5,0,0
Praveen Dubey,3,44,26,2,4,2,0,0,0,0,0,0
Mukesh Choudhary,2,0,0,0,0,0,36,71,1,0,0,0
Matheesha Pathirana,5,0,0,0,0,0,137,196,7,2,0,0
Ruturaj Gaikwad,5,122,82,14,4,5,0,0,0,3,0,0
Trent Boult,6,2,4,0,0,1,124,190,5,0,0,0
Deepak Chahar,6,28,16,2,2,1,95,153,5,1,0,0
Jasprit Bumrah,2,0,1,0,0,0,48,73,1,1,0,0
Will Jacks,5,55,50,4,2,4,31,42,1,3,0,0
Mitchell Santner,6,39,29,2,3,2,128,197,3,2,1,0
Hardik Pandya,5,83,55,6,5,3,106,142,10,2,1,0
Vignesh Puthur,4,0,0,0,0,0,67,94,6,0,0,0
Naman Dhir,5,130,71,13,6,3,18,12,0,9,0,0
Ryan Rickelton,6,149,102,19,7,5,0,0,0,5,3,1
Rohit Sharma,5,56,41,6,3,5,0,0,0,0,0,0
Suryakumar Yadav,6,239,166,25,10,5,0,0,0,1,0,0
Tilak Varma,5,210,154,17,10,5,0,0,0,3,0,0
Ashutosh Sharma,3,0,0,0,0,0,50,97,1,2,0,0
Aniket Verma,5,141,81,8,12,5,0,0,0,3,0,0
Kamindu Mendis,2,28,25,1,2,2,12,16,1,0,0,0
Simarjeet Singh,4,3,7,0,0,2,63,146,2,0,0,0
Jaydev Unadkat,1,0,0,0,0,0,12,16,0,0,0,0
Mitchell Marsh,6,295,184,30,17,6,0,0,0,0,0,0
Spencer Johnson,4,2,4,0,0,0,73,134,1,1,0,0
Andre Russell,4,17,21,2,1,4,41,88,5,1,0,0
Venkatesh Iyer,4,114,79,14,4,4,0,0,0,2,0,0
Ramandeep Singh,3,29,24,1,2,2,0,0,0,1,0,0
Angkrish Raghuvanshi,5,133,91,13,4,4,0,0,0,1,0,0
Yudhvir Singh,1,0,0,0,0,0,15,20,0,0,0,0
Kumar Kartikeya,3,1,1,0,0,1,37,56,2,0,0,0
PWH de Silva,4,8,9,0,0,2,84,140,6,2,0,0
Suryansh Shedge,1,2,4,0,0,1,0,0,0,0,0,0
Sameer Rizvi,2,24,21,2,1,2,0,0,0,0,0,0
Ashwani Kumar,2,0,0,0,0,0,40,64,5,1,0,0
C Andre Siddarth,0,0,0,0,0,0,0,0,0,1,0,0
Raj Bawa,0,0,0,0,0,0,0,0,0,1,1,0
Anukul Roy,0,0,0,0,0,0,0,0,0,1,0,0
Rasikh Salam,2,0,0,0,0,0,38,71,1,1,0,0
Manimaran Siddharth,2,0,0,0,0,0,43,68,2,1,0,0
Manish Pandey,1,19,14,2,1,1,0,0,0,0,0,0
Abhinav Manohar,3,6,13,0,0,3,0,0,0,2,0,0
PWA Mulder,1,9,12,1,0,1,6,16,0,1,0,0
Jamie Overton,2,11,4,0,1,0,24,55,0,0,0,0
Mujeeb Ur Rahman,1,0,0,0,0,0,13,28,1,0,0,0
Satyanarayana Raju,2,1,1,0,0,0,29,54,1,1,0,0
Kagiso Rabada,2,7,6,0,1,0,51,84,2,0,0,0
Robin Minz,2,6,16,0,0,2,0,0,0,0,0,0
Sam Curran,2,12,22,0,0,2,26,48,0,1,0,0
MS Bhandage,0,0,0,0,0,0,0,0,0,1,0,0
Prince Yadav,2,0,0,0,0,0,53,76,1,0,1,0
Adam Zampa,2,0,0,0,0,0,50,94,2,0,0,0
Azmatullah Omarzai,1,16,15,2,1,1,12,29,0,0,0,0
Vijaykumar Vyshak,1,0,0,0,0,0,23,28,0,0,0,0
Shahbaz Ahmed,1,9,8,1,0,1,10,22,0,0,0,0
Vijay Shankar,0,0,0,0,0,0,0,0,0,1,0,0
Nathan Ellis,1,0,0,0,0,0,25,39,1,0,0,0
Shaik Rasheed,1,27,21,6,0,1,0,0,0,1,0,0
Karun Nair,1,89,41,12,5,1,0,0,0,0,0,0
Ashutosh Sharma,1,0,0,0,0,0,25,38,3,0,0,0
