Venue,Avg Runs per Over,Batting/Bowling Friendly,Win% 1st Innings,Win% 2nd Innings,Avg Wickets Per Match,Avg 1st Inns Score,Avg 2nd Inns Score,Boundary %,Spin/Pace Friendly,Dew
"Rajiv Gandhi International Stadium, Uppal",7.7,Batting Friendly,38.78,59.18,11.53,156.14,141.9,15.35,Pace Friendly,Moderate
Maharashtra Cricket Association Stadium,7.94,Batting Friendly,36.36,63.64,11.77,166.41,152.09,15.89,Pace Friendly,Moderate
Saurashtra Cricket Association Stadium,8.4,Batting Friendly,30,60,10.9,168.9,137,17.22,Spin Friendly,
Holkar Cricket Stadium,8.77,Batting Friendly,11.11,88.89,10.22,160.33,158.78,19.34,Spin Friendly,Moderate
M.Chinnaswamy Stadium,8.8,Batting Friendly,46.67,46.67,11.93,173.93,167.87,19.06,Spin Friendly,High
Wankhede Stadium,7.98,Batting Friendly,47.95,50.68,12.25,166.03,150.49,17.08,Pace Friendly,Moderate
Eden Gardens,7.89,Batting Friendly,38.96,61.04,11.4,160.18,147.06,17.09,Spin Friendly,High
M Chinnaswamy Stadium,8.16,Batting Friendly,40,55.38,11.43,168.06,141.5,17.6,Pace Friendly,
Feroz Shah Kotla,7.92,Batting Friendly,45,53.33,11.62,161.63,147.85,16.53,Pace Friendly,
"Punjab Cricket Association IS Bindra Stadium, Mohali",8.26,Batting Friendly,45.45,54.55,10.45,164.09,158.18,16.55,Pace Friendly,
Green Park,8.46,Batting Friendly,0,100,12.25,161.25,163.25,20.3,Pace Friendly,Moderate
Punjab Cricket Association IS Bindra Stadium,8.59,Batting Friendly,40,60,10.4,175.6,172,17.58,Pace Friendly,
Rajiv Gandhi International Stadium,7.7,Batting Friendly,53.33,46.67,12.67,162.6,146.13,15.3,Pace Friendly,
MA Chidambaram Stadium,7.22,Bowling Friendly,44.44,55.56,11.11,150.56,134.22,13.71,Spin Friendly,High
Sawai Mansingh Stadium,7.68,Batting Friendly,31.91,68.09,11.02,157.68,145.81,15.51,Pace Friendly,Low
Arun Jaitley Stadium,8.12,Batting Friendly,50,42.86,12.21,168.29,136.69,17.13,Pace Friendly,Low
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,7.4,Bowling Friendly,46.15,53.85,12.54,157.46,130.69,14.78,Spin Friendly,Moderate
Sheikh Zayed Stadium,7.67,Batting Friendly,37.93,55.17,11.34,158.86,128.79,15.06,Pace Friendly,
Dubai International Cricket Stadium,7.72,Batting Friendly,45.65,47.83,11.85,163.76,128.09,15.09,Pace Friendly,
Sharjah Cricket Stadium,7.72,Batting Friendly,35.71,64.29,11.5,159.04,147.5,14.85,Pace Friendly,
"MA Chidambaram Stadium, Chepauk, Chennai",7.8,Batting Friendly,46.43,50,12.75,164.54,141.97,15.38,Pace Friendly,
"Wankhede Stadium, Mumbai",8.57,Batting Friendly,40,60,11.73,177.11,169.27,18.91,Pace Friendly,
"Narendra Modi Stadium, Ahmedabad",8.64,Batting Friendly,37.5,62.5,11.83,175.75,163.83,18.25,Pace Friendly,Moderate
"Arun Jaitley Stadium, Delhi",9.22,Batting Friendly,56.25,43.75,12.06,199.06,181.62,21.02,Pace Friendly,
"Zayed Cricket Stadium, Abu Dhabi",7.92,Batting Friendly,37.5,62.5,11.62,159,150.38,16.01,Pace Friendly,
"Brabourne Stadium, Mumbai",8.61,Batting Friendly,47.06,52.94,12.41,177.41,165.18,19.32,Pace Friendly,
"Dr DY Patil Sports Academy, Mumbai",8.04,Batting Friendly,50,50,12.7,170.7,157.95,16.53,Pace Friendly,
"Maharashtra Cricket Association Stadium, Pune",7.9,Batting Friendly,76.92,23.08,13.46,171.46,144.54,16.31,Pace Friendly,Moderate
"Eden Gardens, Kolkata",9.46,Batting Friendly,50,50,12.06,195.62,184.69,22.01,Pace Friendly,
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",9.23,Batting Friendly,60,40,12,197.8,173.4,20.55,Pace Friendly,Moderate
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",7.85,Batting Friendly,50,42.86,12.57,165.43,152.15,15.2,Pace Friendly,
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",9.06,Batting Friendly,53.85,46.15,11.08,188.38,176.46,19.92,Pace Friendly,Moderate
