Player Name,Role,Bowling,Batting,Age,Team Name,Image URL
Ruturaj Gaikwad,Batter,Right arm Offbreak,Right hand Bat,27y 274d,Chennai Super Kings Squad,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/322200/322236.1.png"
C Andre Siddarth,Batter,,Right hand Bat,18y 64d,Chennai Super Kings Squad,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/390600/390678.2.png"
Vansh Bedi,Wicketkeeper Batter,,Right hand Bat,21y 313d,Chennai Super Kings Squad,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/398600/398615.5.png"
Devon Conway,Wicketkeeper Batter,Right arm Medium,Left hand Bat,33y 115d,Chennai Super Kings Squad,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/383100/383148.1.png"
MS Dhoni,Wicketkeeper Batter,Right arm Medium,Right hand Bat,43y 116d,Chennai Super Kings Squad,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/319900/319946.3.png"
Shaik Rasheed,Batter,Legbreak,Right hand Bat,20y 37d,Chennai Super Kings Squad,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/345000/345086.1.png"
Rahul Tripathi,Top order Batter,Right arm Medium,Right hand Bat,33y 243d,Chennai Super Kings Squad,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/356800/356821.5.png"
Ravichandran Ashwin,Bowling Allrounder,Right arm Offbreak,Right hand Bat,38y 44d,Chennai Super Kings Squad,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/393300/393315.2.png"
Sam Curran,Allrounder,Left arm Medium fast,Left hand Bat,26y 150d,Chennai Super Kings Squad,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/383100/383153.1.png"
Shivam Dube,Allrounder,Right arm Medium,Left hand Bat,31y 127d,Chennai Super Kings Squad,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/383700/383773.1.png"
Ramakrishna Ghosh,Bowling Allrounder,Right arm Medium fast,Right hand Bat,27y 64d,Chennai Super Kings Squad,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/398600/398613.4.png"
Shreyas Gopal,Allrounder,Legbreak,Right hand Bat,31y 57d,Chennai Super Kings Squad,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/322200/322275.1.png"
Deepak Hooda,Allrounder,Right arm Offbreak,Right hand Bat,29y 195d,Chennai Super Kings Squad,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/345000/345083.1.png"
